# ENERGY SUPPLY GROUP 05
# Wind park near the Rotterdam harbor with 120 turbines.
#
# time [s], power [MW]
0, 53.926755
900, 58.678329
1800, 58.678329
2700, 63.632068
3600, 68.792184
4500, 68.792184
5400, 68.792184
6300, 74.162888
7200, 74.162888
8100, 79.748392
9000, 79.748392
9900, 85.552908
10800, 85.552908
11700, 91.580648
12600, 97.835823
13500, 104.322645
14400, 118.008078
15300, 118.008078
16200, 118.008078
17100, 125.215112
18000, 125.215112
18900, 132.670641
19800, 140.378875
20700, 140.378875
21600, 148.344027
22500, 148.344027
23400, 140.378875
24300, 140.378875
25200, 140.378875
26100, 132.670641
27000, 132.670641
27900, 125.215112
28800, 118.008078
29700, 111.045326
30600, 104.322645
31500, 104.322645
32400, 97.835823
33300, 97.835823
34200, 97.835823
35100, 97.835823
36000, 91.580648
36900, 97.835823
37800, 97.835823
38700, 97.835823
39600, 97.835823
40500, 104.322645
41400, 111.045326
42300, 118.008078
43200, 118.008078
44100, 125.215112
45000, 125.215112
45900, 125.215112
46800, 125.215112
47700, 118.008078
48600, 111.045326
49500, 111.045326
50400, 104.322645
51300, 104.322645
52200, 104.322645
53100, 111.045326
54000, 111.045326
54900, 118.008078
55800, 125.215112
56700, 140.378875
57600, 148.344027
58500, 165.061932
59400, 182.858049
60300, 192.170966
61200, 211.647578
62100, 221.819696
63000, 232.286637
63900, 243.052614
64800, 254.121838
65700, 254.121838
66600, 254.121838
67500, 254.121838
68400, 254.121838
69300, 254.121838
70200, 243.052614
71100, 243.052614
72000, 243.052614
72900, 232.286637
73800, 221.819696
74700, 211.647578
75600, 201.766072
76500, 192.170966
77400, 192.170966
78300, 192.170966
79200, 182.858049
80100, 182.858049
81000, 182.858049
81900, 182.858049
82800, 173.823108
83700, 173.823108
84600, 173.823108
85500, 173.823108
86400, 192.170966
87300, 192.170966
88200, 192.170966
89100, 192.170966
90000, 192.170966
90900, 192.170966
91800, 192.170966
92700, 201.766072
93600, 201.766072
94500, 192.170966
95400, 192.170966
96300, 182.858049
97200, 173.823108
98100, 173.823108
99000, 165.061932
99900, 156.570309
100800, 148.344027
101700, 148.344027
102600, 140.378875
103500, 140.378875
104400, 132.670641
105300, 125.215112
106200, 125.215112
107100, 118.008078
108000, 111.045326
108900, 104.322645
109800, 104.322645
110700, 104.322645
111600, 104.322645
112500, 104.322645
113400, 104.322645
114300, 111.045326
115200, 111.045326
116100, 111.045326
117000, 118.008078
117900, 118.008078
118800, 118.008078
119700, 118.008078
120600, 118.008078
121500, 118.008078
122400, 111.045326
123300, 118.008078
124200, 118.008078
125100, 118.008078
126000, 118.008078
126900, 118.008078
127800, 118.008078
128700, 111.045326
129600, 111.045326
130500, 104.322645
131400, 97.835823
132300, 85.552908
133200, 79.748392
134100, 68.792184
135000, 58.678329
135900, 49.373133
136800, 40.842902
137700, 36.857869
138600, 29.426910
139500, 25.972559
140400, 19.565059
141300, 19.565059
142200, 19.565059
143100, 19.565059
144000, 19.565059
144900, 16.603485
145800, 13.797747
146700, 13.797747
147600, 11.143632
148500, 8.636929
149400, 6.273426
150300, 6.273426
151200, 4.048911
152100, 1.959173
153000, 1.959173
153900, 0.000000
154800, 0.000000
155700, 0.000000
156600, 0.000000
157500, 0.000000
158400, 0.000000
159300, 0.000000
160200, 0.000000
161100, 0.000000
162000, 0.000000
162900, 0.000000
163800, 0.000000
164700, 0.000000
165600, 0.000000
166500, 0.000000
167400, 0.000000
168300, 0.000000
169200, 0.000000
170100, 0.000000
171000, 0.000000
171900, 0.000000
172800, 0.000000
173700, 0.000000
174600, 0.000000
175500, 0.000000
176400, 0.000000
177300, 0.000000
178200, 0.000000
179100, 0.000000
180000, 0.000000
180900, 0.000000
181800, 0.000000
182700, 0.000000
183600, 0.000000
184500, 0.000000
185400, 0.000000
