# ENERGY SUPPLY GROUP 17
# Solar park in the dessert with 630000.0 m² of panels.
#
# time [s], power [MW]
0, 0.000000
900, 0.000000
1800, 0.000000
2700, 0.000000
3600, 0.000000
4500, 0.000000
5400, 0.000000
6300, 0.000000
7200, 0.000000
8100, 0.000000
9000, 0.000000
9900, 0.000000
10800, 0.000000
11700, 0.000000
12600, 0.000000
13500, 0.000000
14400, 0.000000
15300, 0.000000
16200, 0.000000
17100, 0.000000
18000, 0.000000
18900, 2.753523
19800, 6.769077
20700, 11.587742
21600, 16.865327
22500, 22.372373
23400, 27.879418
24300, 33.271734
25200, 38.434589
26100, 43.482714
27000, 48.301379
27900, 52.546393
28800, 56.676677
29700, 60.348041
30600, 63.675214
31500, 65.969817
32400, 68.493879
33300, 70.444291
34200, 71.821052
35100, 72.509433
36000, 72.968354
36900, 72.738893
37800, 72.279973
38700, 70.903212
39600, 69.526450
40500, 67.576038
41400, 65.166706
42300, 62.068993
43200, 58.741819
44100, 55.070456
45000, 51.054902
45900, 46.465697
46800, 41.761762
47700, 37.057827
48600, 31.780242
49500, 26.387927
50400, 20.995611
51300, 15.718026
52200, 10.555171
53100, 5.965966
54000, 2.294602
54900, 0.000000
55800, 0.000000
56700, 0.000000
57600, 0.000000
58500, 0.000000
59400, 0.000000
60300, 0.000000
61200, 0.000000
62100, 0.000000
63000, 0.000000
63900, 0.000000
64800, 0.000000
65700, 0.000000
66600, 0.000000
67500, 0.000000
68400, 0.000000
69300, 0.000000
70200, 0.000000
71100, 0.000000
72000, 0.000000
72900, 0.000000
73800, 0.000000
74700, 0.000000
75600, 0.000000
76500, 0.000000
77400, 0.000000
78300, 0.000000
79200, 0.000000
80100, 0.000000
81000, 0.000000
81900, 0.000000
82800, 0.000000
83700, 0.000000
84600, 0.000000
85500, 0.000000
86400, 0.000000
87300, 0.000000
88200, 0.000000
89100, 0.000000
90000, 0.000000
90900, 0.000000
91800, 0.000000
92700, 0.000000
93600, 0.000000
94500, 0.000000
95400, 0.000000
96300, 0.000000
97200, 0.000000
98100, 0.000000
99000, 0.000000
99900, 0.000000
100800, 0.000000
101700, 0.000000
102600, 0.000000
103500, 0.000000
104400, 0.000000
105300, 0.573651
106200, 3.212443
107100, 6.998537
108000, 11.702472
108900, 16.521137
109800, 21.569262
110700, 26.387927
111600, 31.321322
112500, 36.025256
113400, 40.499731
114300, 44.630015
115200, 48.530839
116100, 52.087473
117000, 55.299916
117900, 60.233311
118800, 62.642643
119700, 64.478325
120600, 65.969817
121500, 66.084547
122400, 66.658197
123300, 66.199277
124200, 65.740356
125100, 63.445754
126000, 61.954262
126900, 60.118581
127800, 57.823978
128700, 53.923154
129600, 51.399092
130500, 47.842458
131400, 44.056364
132300, 38.664049
133200, 34.074844
134100, 29.370910
135000, 24.552245
135900, 18.701009
136800, 13.767614
137700, 8.948949
138600, 4.589205
139500, 1.262031
140400, 0.114730
141300, 0.000000
142200, 0.000000
143100, 0.000000
144000, 0.000000
144900, 0.000000
145800, 0.000000
146700, 0.000000
147600, 0.000000
148500, 0.000000
149400, 0.000000
150300, 0.000000
151200, 0.000000
152100, 0.000000
153000, 0.000000
153900, 0.000000
154800, 0.000000
155700, 0.000000
156600, 0.000000
157500, 0.000000
158400, 0.000000
159300, 0.000000
160200, 0.000000
161100, 0.000000
162000, 0.000000
162900, 0.000000
163800, 0.000000
164700, 0.000000
165600, 0.000000
166500, 0.000000
167400, 0.000000
168300, 0.000000
169200, 0.000000
170100, 0.000000
171000, 0.000000
171900, 0.000000
172800, 0.000000
173700, 0.000000
174600, 0.000000
175500, 0.000000
176400, 0.000000
