# ENERGY SUPPLY GROUP 18
# Wind park in Luxemburg with 140 turbines.
#
# time [s], power [MW]
0, 0.000000
900, 0.000000
1800, 0.000000
2700, 0.000000
3600, 0.000000
4500, 0.000000
5400, 0.000000
6300, 0.000000
7200, 0.000000
8100, 0.000000
9000, 0.000000
9900, 0.000000
10800, 0.000000
11700, 0.000000
12600, 0.000000
13500, 0.000000
14400, 0.000000
15300, 0.000000
16200, 0.000000
17100, 0.000000
18000, 0.000000
18900, 0.000000
19800, 0.000000
20700, 0.000000
21600, 0.000000
22500, 0.000000
23400, 0.000000
24300, 0.000000
25200, 0.000000
26100, 0.000000
27000, 0.000000
27900, 2.307419
28800, 2.307419
29700, 7.388537
30600, 10.172157
31500, 13.124430
32400, 19.554781
33300, 23.042779
34200, 26.719273
35100, 26.719273
36000, 30.589223
36900, 34.657589
37800, 38.929333
38700, 38.929333
39600, 43.409414
40500, 43.409414
41400, 43.409414
42300, 43.409414
43200, 38.929333
44100, 38.929333
45000, 38.929333
45900, 38.929333
46800, 38.929333
47700, 38.929333
48600, 38.929333
49500, 43.409414
50400, 43.409414
51300, 38.929333
52200, 38.929333
53100, 38.929333
54000, 38.929333
54900, 38.929333
55800, 34.657589
56700, 34.657589
57600, 34.657589
58500, 34.657589
59400, 38.929333
60300, 38.929333
61200, 38.929333
62100, 38.929333
63000, 38.929333
63900, 38.929333
64800, 38.929333
65700, 43.409414
66600, 43.409414
67500, 43.409414
68400, 43.409414
69300, 43.409414
70200, 43.409414
71100, 48.102793
72000, 48.102793
72900, 43.409414
73800, 43.409414
74700, 43.409414
75600, 38.929333
76500, 38.929333
77400, 34.657589
78300, 34.657589
79200, 34.657589
80100, 30.589223
81000, 30.589223
81900, 26.719273
82800, 26.719273
83700, 26.719273
84600, 26.719273
85500, 26.719273
86400, 30.589223
87300, 30.589223
88200, 30.589223
89100, 30.589223
90000, 30.589223
90900, 26.719273
91800, 23.042779
92700, 19.554781
93600, 16.250318
94500, 16.250318
95400, 13.124430
96300, 13.124430
97200, 10.172157
98100, 10.172157
99000, 13.124430
99900, 13.124430
100800, 13.124430
101700, 13.124430
102600, 13.124430
103500, 16.250318
104400, 16.250318
105300, 16.250318
106200, 16.250318
107100, 16.250318
108000, 13.124430
108900, 13.124430
109800, 13.124430
110700, 13.124430
111600, 13.124430
112500, 16.250318
113400, 23.042779
114300, 26.719273
115200, 30.589223
116100, 38.929333
117000, 43.409414
117900, 53.014430
118800, 58.149286
119700, 63.512320
120600, 63.512320
121500, 69.108495
122400, 74.942769
123300, 81.020103
124200, 87.345458
125100, 93.923795
126000, 100.760073
126900, 100.760073
127800, 100.760073
128700, 100.760073
129600, 100.760073
130500, 93.923795
131400, 87.345458
132300, 81.020103
133200, 74.942769
134100, 58.149286
135000, 48.102793
135900, 38.929333
136800, 26.719273
137700, 16.250318
138600, 10.172157
139500, 2.307419
140400, 0.000000
141300, 0.000000
142200, 0.000000
143100, 0.000000
144000, 0.000000
144900, 0.000000
145800, 0.000000
146700, 0.000000
147600, 0.000000
148500, 0.000000
149400, 0.000000
150300, 0.000000
151200, 0.000000
152100, 0.000000
153000, 0.000000
153900, 0.000000
154800, 0.000000
155700, 0.000000
156600, 0.000000
157500, 0.000000
158400, 0.000000
159300, 0.000000
160200, 0.000000
161100, 0.000000
162000, 0.000000
162900, 0.000000
163800, 0.000000
164700, 0.000000
165600, 0.000000
166500, 0.000000
167400, 0.000000
168300, 0.000000
169200, 0.000000
170100, 0.000000
171000, 0.000000
171900, 0.000000
172800, 0.000000
173700, 0.000000
174600, 0.000000
175500, 0.000000
176400, 0.000000
