# ENERGY DEMAND GROUP 26
# Office building in Berlin with an annual energy consumption of 8.51e+11 J.
#
# time [s], power [kW]
0, 2.930624
900, 3.156198
1800, 3.270986
2700, 3.355889
3600, 3.029899
4500, 3.263114
5400, 3.381790
6300, 3.469569
7200, 2.744772
8100, 2.956040
9000, 3.063548
9900, 3.143067
10800, 3.014163
11700, 3.246167
12600, 3.364227
13500, 3.451550
14400, 2.996553
15300, 3.227201
16200, 3.344571
17100, 3.431384
18000, 5.430367
18900, 5.848348
19800, 6.061047
20700, 6.218370
21600, 16.833134
22500, 18.128800
23400, 18.788126
24300, 19.275800
25200, 28.135682
26100, 30.301318
27000, 31.403346
27900, 32.218468
28800, 48.544478
29700, 52.281002
30600, 54.182410
31500, 55.588796
32400, 47.463993
33300, 51.117351
34200, 52.976438
35100, 54.351521
36000, 43.818045
36900, 47.190770
37800, 48.907051
38700, 50.176507
39600, 43.420432
40500, 46.762552
41400, 48.463259
42300, 49.721196
43200, 48.290035
44100, 52.006974
45000, 53.898415
45900, 55.297430
46800, 47.531778
47700, 51.190353
48600, 53.052094
49500, 54.429142
50400, 46.070724
51300, 49.616840
52200, 51.421355
53100, 52.756073
54000, 45.580583
54900, 49.088972
55800, 50.874288
56700, 52.194807
57600, 44.423618
58500, 47.842954
59400, 49.582954
60300, 50.869955
61200, 39.809150
62100, 42.873305
63000, 44.432564
63900, 45.585878
64800, 44.192028
65700, 47.593539
66600, 49.324468
67500, 50.604759
68400, 39.298201
69300, 42.323028
70200, 43.862274
71100, 45.000786
72000, 23.054052
72900, 24.828549
73800, 25.731539
74700, 26.399439
75600, 7.385173
76500, 7.953618
77400, 8.242884
78300, 8.456840
79200, 2.245551
80100, 2.418394
81000, 2.506348
81900, 2.571404
82800, 2.237254
83700, 2.409457
84600, 2.497087
85500, 2.561903
86400, 3.020845
87300, 3.253363
88200, 3.371685
89100, 3.459202
90000, 3.123176
90900, 3.363570
91800, 3.485900
92700, 3.576382
93600, 2.829271
94500, 3.047043
95400, 3.157861
96300, 3.239828
97200, 3.106956
98100, 3.346102
99000, 3.467796
99900, 3.557808
100800, 3.088803
101700, 3.326552
102600, 3.447535
103500, 3.537021
104400, 5.597543
105300, 6.028393
106200, 6.247639
107100, 6.409806
108000, 17.351351
108900, 18.686904
109800, 19.366528
110700, 19.869216
111600, 29.001854
112500, 31.234159
113400, 32.370114
114300, 33.210329
115200, 50.038945
116100, 53.890499
117000, 55.850443
117900, 57.300125
118800, 48.925197
119700, 52.691025
120600, 54.607344
121500, 56.024760
122400, 45.167006
123300, 48.643562
124200, 50.412679
125100, 51.721216
126000, 44.757152
126900, 48.202161
127800, 49.955225
128700, 51.251888
129600, 49.776669
130500, 53.608035
131400, 55.557706
132300, 56.999790
133200, 48.995068
134100, 52.766274
135000, 54.685330
135900, 56.104770
136800, 47.489035
137700, 51.144320
138600, 53.004387
139500, 54.380196
140400, 46.983804
141300, 50.600201
142200, 52.440479
143100, 53.801651
144000, 45.791222
144900, 49.315824
145800, 51.109391
146700, 52.436012
147600, 41.034695
148500, 44.193182
149400, 45.800443
150300, 46.989263
151200, 45.552502
152100, 49.058730
153000, 50.842947
153900, 52.162652
154800, 40.508016
155700, 43.625964
156600, 45.212597
157500, 46.386158
158400, 23.763783
159300, 25.592909
160200, 26.523697
161100, 27.212160
162000, 7.612530
162900, 8.198475
163800, 8.496645
164700, 8.717188
165600, 2.314682
166500, 2.492845
167400, 2.583508
168300, 2.650566
169200, 2.306129
170100, 2.483634
171000, 2.573961
171900, 2.640772
172800, 3.058821
173700, 3.294262
174600, 3.414071
175500, 3.502688
176400, 3.162438
177300, 3.405855
178200, 3.529722
179100, 3.621341
180000, 2.864838
180900, 3.085348
181800, 3.197559
182700, 3.280557
183600, 3.146014
184500, 3.388166
185400, 3.511391
186300, 3.602534
187200, 3.127633
188100, 3.368370
189000, 3.490875
189900, 3.581486
190800, 5.667911
191700, 6.104177
192600, 6.326180
193500, 6.490385
194400, 17.569478
195300, 18.921821
196200, 19.609989
197100, 20.118996
198000, 29.366442
198900, 31.626810
199800, 32.777046
200700, 33.627823
201600, 50.667995
202500, 54.567968
203400, 56.552550
204300, 58.020457
205200, 49.540245
206100, 53.353414
207000, 55.293824
207900, 56.729059
208800, 45.734810
209700, 49.255070
210600, 51.046428
211500, 52.371415
212400, 45.319803
213300, 48.808120
214200, 50.583223
215100, 51.896186
216000, 50.402421
216900, 54.281953
217800, 56.256133
218700, 57.716346
219600, 49.610995
220500, 53.429610
221400, 55.372791
222300, 56.810075
223200, 48.086029
224100, 51.787265
225000, 53.670716
225900, 55.063821
226800, 47.574447
227700, 51.236306
228600, 53.099719
229500, 54.478003
230400, 46.366873
231300, 49.935783
232200, 51.751898
233100, 53.095196
234000, 41.550550
234900, 44.748743
235800, 46.376210
236700, 47.579975
237600, 46.125152
238500, 49.675457
239400, 51.482104
240300, 52.818400
241200, 41.017251
242100, 44.174395
243000, 45.780973
243900, 46.969288
244800, 24.062523
245700, 25.914642
246600, 26.857132
247500, 27.554249
248400, 7.708228
249300, 8.301539
250200, 8.603458
251100, 8.826774
252000, 2.343780
252900, 2.524183
253800, 2.615985
254700, 2.683887
255600, 2.335119
256500, 2.514856
257400, 2.606319
258300, 2.673970
259200, 3.141483
260100, 3.383286
261000, 3.506333
261900, 3.597345
262800, 3.247900
263700, 3.497895
264600, 3.625110
