# ENERGY DEMAND GROUP 31
# Apartment block in Eindhoven with an annual energy consumption of 5.68e+10 J.
#
# time [s], power [kW]
0, 0.107706
900, 0.106520
1800, 0.110993
2700, 0.108330
3600, 0.112862
4500, 0.111619
5400, 0.116307
6300, 0.113515
7200, 0.115975
8100, 0.114697
9000, 0.119514
9900, 0.116646
10800, 0.124954
11700, 0.123578
12600, 0.128768
13500, 0.125677
14400, 0.122696
15300, 0.121344
16200, 0.126440
17100, 0.123406
18000, 0.113985
18900, 0.112729
19800, 0.117464
20700, 0.114644
21600, 0.232961
22500, 0.230396
23400, 0.240071
24300, 0.234309
25200, 0.936824
26100, 0.926507
27000, 0.965416
27900, 0.942245
28800, 1.909281
29700, 1.888253
30600, 1.967552
31500, 1.920329
32400, 2.238871
33300, 2.214213
34200, 2.307201
35100, 2.251826
36000, 2.573413
36900, 2.545071
37800, 2.651953
38700, 2.588304
39600, 2.173598
40500, 2.149659
41400, 2.239936
42300, 2.186175
43200, 2.088325
44100, 2.065325
45000, 2.152060
45900, 2.100408
46800, 2.003017
47700, 1.980956
48600, 2.064148
49500, 2.014607
50400, 1.818121
51300, 1.798097
52200, 1.873610
53100, 1.828641
54000, 1.867608
54900, 1.847039
55800, 1.924607
56700, 1.878415
57600, 1.972091
58500, 1.950371
59400, 2.032279
60300, 1.983502
61200, 2.197453
62100, 2.173251
63000, 2.264519
63900, 2.210168
64800, 2.132114
65700, 2.108632
66600, 2.197186
67500, 2.144451
68400, 2.287168
69300, 2.261978
70200, 2.356972
71100, 2.300402
72000, 2.116964
72900, 2.093649
73800, 2.181574
74700, 2.129214
75600, 2.084606
76500, 2.061647
77400, 2.148228
78300, 2.096668
79200, 1.534583
80100, 1.517682
81000, 1.581418
81900, 1.543463
82800, 0.783700
83700, 0.775069
84600, 0.807618
85500, 0.788235
86400, 0.105182
87300, 0.104024
88200, 0.108392
89100, 0.105791
90000, 0.110217
90900, 0.109003
91800, 0.113581
92700, 0.110855
93600, 0.113257
94500, 0.112009
95400, 0.116713
96300, 0.113912
97200, 0.122026
98100, 0.120682
99000, 0.125750
99900, 0.122732
100800, 0.119820
101700, 0.118501
102600, 0.123477
103500, 0.120513
104400, 0.111314
105300, 0.110088
106200, 0.114711
107100, 0.111958
108000, 0.227502
108900, 0.224996
109800, 0.234445
110700, 0.228818
111600, 0.914870
112500, 0.904794
113400, 0.942791
114300, 0.920163
115200, 1.864536
116100, 1.844001
117000, 1.921441
117900, 1.875325
118800, 2.186402
119700, 2.162322
120600, 2.253131
121500, 2.199053
122400, 2.513104
123300, 2.485426
124200, 2.589804
125100, 2.527646
126000, 2.122659
126900, 2.099281
127800, 2.187442
128700, 2.134941
129600, 2.039384
130500, 2.016923
131400, 2.101626
132300, 2.051184
133200, 1.956075
134100, 1.934532
135000, 2.015774
135900, 1.967394
136800, 1.775512
137700, 1.755958
138600, 1.829701
139500, 1.785786
140400, 1.823840
141300, 1.803753
142200, 1.879503
143100, 1.834393
144000, 1.925874
144900, 1.904663
145800, 1.984652
146700, 1.937018
147600, 2.145955
148500, 2.122320
149400, 2.211449
150300, 2.158372
151200, 2.082147
152100, 2.059215
153000, 2.145693
153900, 2.094195
154800, 2.233567
155700, 2.208968
156600, 2.301735
157500, 2.246491
158400, 2.067352
159300, 2.044584
160200, 2.130448
161100, 2.079315
162000, 2.035752
162900, 2.013331
163800, 2.097883
164700, 2.047532
165600, 1.498619
166500, 1.482114
167400, 1.544357
168300, 1.507291
169200, 0.765333
170100, 0.756904
171000, 0.788691
171900, 0.769762
172800, 0.104635
173700, 0.103482
174600, 0.107828
175500, 0.105240
176400, 0.109643
177300, 0.108436
178200, 0.112990
179100, 0.110278
180000, 0.112667
180900, 0.111427
181800, 0.116106
182700, 0.113319
183600, 0.121391
184500, 0.120054
185400, 0.125096
186300, 0.122093
187200, 0.119197
188100, 0.117884
189000, 0.122834
189900, 0.119886
190800, 0.110734
191700, 0.109515
192600, 0.114114
193500, 0.111375
194400, 0.226318
195300, 0.223825
196200, 0.233225
197100, 0.227627
198000, 0.910109
198900, 0.900085
199800, 0.937885
200700, 0.915375
201600, 1.854833
202500, 1.834405
203400, 1.911442
204300, 1.865566
205200, 2.175024
206100, 2.151069
207000, 2.241405
207900, 2.187609
208800, 2.500026
209700, 2.472492
210600, 2.576326
211500, 2.514492
212400, 2.111613
213300, 2.088356
214200, 2.176059
215100, 2.123831
216000, 2.028771
216900, 2.006427
217800, 2.090689
218700, 2.040510
219600, 1.945896
220500, 1.924464
221400, 2.005284
222300, 1.957155
223200, 1.766273
224100, 1.746820
225000, 1.820179
225900, 1.776493
226800, 1.814349
227700, 1.794366
228600, 1.869722
229500, 1.824847
230400, 1.915852
231300, 1.894752
232200, 1.974323
233100, 1.926938
234000, 2.134787
234900, 2.111276
235800, 2.199941
236700, 2.147140
237600, 2.071311
238500, 2.048499
239400, 2.134527
240300, 2.083296
241200, 2.221944
242100, 2.197472
243000, 2.289757
243900, 2.234801
244800, 2.056594
245700, 2.033943
246600, 2.119361
247500, 2.068494
248400, 2.025158
249300, 2.002854
250200, 2.086966
251100, 2.036876
252000, 1.490821
252900, 1.474401
253800, 1.536320
254700, 1.499447
255600, 0.761351
256500, 0.752966
257400, 0.784587
258300, 0.765756
259200, 0.108930
260100, 0.107730
261000, 0.112254
261900, 0.109560
262800, 0.114144
263700, 0.112887
264600, 0.117628
265500, 0.114805
266400, 0.117292
267300, 0.116000
268200, 0.120872
269100, 0.117971
270000, 0.126374
270900, 0.124982
271800, 0.130231
272700, 0.127105
273600, 0.124089
274500, 0.122723
275400, 0.127877
276300, 0.124807
277200, 0.115280
278100, 0.114010
279000, 0.118798
279900, 0.115947
280800, 0.235608
281700, 0.233013
282600, 0.242799
283500, 0.236971
284400, 0.947467
285300, 0.937032
286200, 0.976383
287100, 0.952949
288000, 1.930971
288900, 1.909704
289800, 1.989904
290700, 1.942144
291600, 2.264305
292500, 2.239367
293400, 2.333411
294300, 2.277407
295200, 2.602647
296100, 2.573983
297000, 2.682080
297900, 2.617707
298800, 2.198291
299700, 2.174080
300600, 2.265382
301500, 2.211011
302400, 2.112048
303300, 2.088787
304200, 2.176508
305100, 2.124269
306000, 2.025771
306900, 2.003460
307800, 2.087597
308700, 2.037493
309600, 1.838775
310500, 1.818523
311400, 1.894894
312300, 1.849415
313200, 1.888825
314100, 1.868022
315000, 1.946471
315900, 1.899754
316800, 1.994494
317700, 1.972528
318600, 2.055366
319500, 2.006035
320400, 2.222416
321300, 2.197940
322200, 2.290244
323100, 2.235276
324000, 2.156335
324900, 2.132586
325800, 2.222146
326700, 2.168812
327600, 2.313151
328500, 2.287675
329400, 2.383748
330300, 2.326535
331200, 2.141013
332100, 2.117433
333000, 2.206357
333900, 2.153402
334800, 2.108287
335700, 2.085068
336600, 2.172632
337500, 2.120486
338400, 1.552016
339300, 1.534923
340200, 1.599383
341100, 1.560997
342000, 0.792603
342900, 0.783873
343800, 0.816793
344700, 0.797189
345600, 0.139904
346500, 0.138363
347400, 0.144173
348300, 0.140713
349200, 0.146600
350100, 0.144986
351000, 0.151075
351900, 0.147449
352800, 0.150644
353700, 0.148984
354600, 0.155241
355500, 0.151515
356400, 0.162307
357300, 0.160520
358200, 0.167261
359100, 0.163247
360000, 0.159374
360900, 0.157618
361800, 0.164238
362700, 0.160296
363600, 0.148059
364500, 0.146428
365400, 0.152578
366300, 0.148916
367200, 0.302602
