# ENERGY SUPPLY GROUP 31
# 57.0 m² of solar panels on the roof of an apartment block in Eindhoven.
#
# time [s], power [kW]
0, 0.000000
900, 0.000000
1800, 0.000000
2700, 0.000000
3600, 0.000000
4500, 0.000000
5400, 0.000000
6300, 0.000000
7200, 0.000000
8100, 0.000000
9000, 0.000000
9900, 0.000000
10800, 0.000000
11700, 0.000000
12600, 0.000000
13500, 0.000000
14400, 0.000000
15300, 0.000000
16200, 0.000000
17100, 0.000000
18000, 0.000000
18900, 0.000000
19800, 0.000000
20700, 0.000000
21600, 0.000000
22500, 0.000000
23400, 0.000000
24300, 0.000000
25200, 0.000000
26100, 0.000000
27000, 0.000000
27900, 0.000000
28800, 0.167939
29700, 0.335878
30600, 0.556297
31500, 0.766221
32400, 1.007633
33300, 1.228052
34200, 1.448472
35100, 1.626907
36000, 1.815838
36900, 1.983777
37800, 2.130723
38700, 2.256677
39600, 2.351143
40500, 2.424616
41400, 2.456105
42300, 2.456105
43200, 2.445608
44100, 2.403624
45000, 2.330150
45900, 2.235685
46800, 2.109731
47700, 1.952288
48600, 1.784349
49500, 1.563930
50400, 1.354006
51300, 1.123091
52200, 0.892175
53100, 0.650763
54000, 0.440839
54900, 0.251908
55800, 0.000000
56700, 0.000000
57600, 0.000000
58500, 0.000000
59400, 0.000000
60300, 0.000000
61200, 0.000000
62100, 0.000000
63000, 0.000000
63900, 0.000000
64800, 0.000000
65700, 0.000000
66600, 0.000000
67500, 0.000000
68400, 0.000000
69300, 0.000000
70200, 0.000000
71100, 0.000000
72000, 0.000000
72900, 0.000000
73800, 0.000000
74700, 0.000000
75600, 0.000000
76500, 0.000000
77400, 0.000000
78300, 0.000000
79200, 0.000000
80100, 0.000000
81000, 0.000000
81900, 0.000000
82800, 0.000000
83700, 0.000000
84600, 0.000000
85500, 0.000000
86400, 0.000000
87300, 0.000000
88200, 0.000000
89100, 0.000000
90000, 0.000000
90900, 0.000000
91800, 0.000000
92700, 0.000000
93600, 0.000000
94500, 0.000000
95400, 0.000000
96300, 0.000000
97200, 0.000000
98100, 0.000000
99000, 0.000000
99900, 0.000000
100800, 0.000000
101700, 0.000000
102600, 0.000000
103500, 0.000000
104400, 0.000000
105300, 0.000000
106200, 0.000000
107100, 0.000000
108000, 0.000000
108900, 0.000000
109800, 0.000000
110700, 0.000000
111600, 0.000000
112500, 0.000000
113400, 0.000000
114300, 0.000000
115200, 0.167939
116100, 0.346374
117000, 0.556297
117900, 0.776717
118800, 1.018129
119700, 1.249045
120600, 1.469464
121500, 1.689884
122400, 1.878815
123300, 2.046754
124200, 2.193700
125100, 2.309158
126000, 2.393128
126900, 2.466601
127800, 2.498089
128700, 2.519082
129600, 2.498089
130500, 2.456105
131400, 2.372135
132300, 2.267173
133200, 2.130723
134100, 1.983777
135000, 1.805342
135900, 1.605915
136800, 1.395991
137700, 1.165075
138600, 0.923663
139500, 0.692747
140400, 0.472328
141300, 0.272901
142200, 0.000000
143100, 0.000000
144000, 0.000000
144900, 0.000000
145800, 0.000000
146700, 0.000000
147600, 0.000000
148500, 0.000000
149400, 0.000000
150300, 0.000000
151200, 0.000000
152100, 0.000000
153000, 0.000000
153900, 0.000000
154800, 0.000000
155700, 0.000000
156600, 0.000000
157500, 0.000000
158400, 0.000000
159300, 0.000000
160200, 0.000000
161100, 0.000000
162000, 0.000000
162900, 0.000000
163800, 0.000000
164700, 0.000000
165600, 0.000000
166500, 0.000000
167400, 0.000000
168300, 0.000000
169200, 0.000000
170100, 0.000000
171000, 0.000000
171900, 0.000000
172800, 0.000000
173700, 0.000000
174600, 0.000000
175500, 0.000000
