# ENERGY DEMAND GROUP 35
# Industrial area in the Rotterdam harbor with an annual energy consumption of 2.14e+15 J.
#
# time [s], power [MW]
0, 46.086992
900, 45.797102
1800, 46.246901
2700, 46.163213
3600, 47.173022
4500, 46.876300
5400, 47.336699
6300, 47.251039
7200, 48.453463
8100, 48.148687
9000, 48.621583
9900, 48.533597
10800, 50.002429
11700, 49.687910
12600, 50.175924
13500, 50.085125
14400, 51.773890
15300, 51.448228
16200, 51.953531
17100, 51.859515
18000, 50.971890
18900, 50.651273
19800, 51.148748
20700, 51.056189
21600, 74.769878
22500, 74.299570
23400, 75.029309
24300, 74.893535
25200, 99.309953
26100, 98.685286
27000, 99.654531
27900, 99.474196
28800, 100.187677
29700, 99.557489
30600, 100.535300
31500, 100.353371
32400, 99.400820
33300, 98.775581
34200, 99.745713
35100, 99.565213
36000, 95.282950
36900, 94.683613
37800, 95.613555
38700, 95.440532
39600, 92.843944
40500, 92.259949
41400, 93.166087
42300, 92.997493
43200, 91.587719
44100, 91.011625
45000, 91.905503
45900, 91.739190
46800, 95.102212
47700, 94.504012
48600, 95.432191
49500, 95.259496
50400, 95.603676
51300, 95.002322
52200, 95.935395
53100, 95.761789
54000, 93.346076
54900, 92.758922
55800, 93.669961
56700, 93.500455
57600, 96.975604
58500, 96.365620
59400, 97.312082
60300, 97.135986
61200, 94.478208
62100, 93.883934
63000, 94.806022
63900, 94.634460
64800, 85.098585
65700, 84.563309
66600, 85.393854
67500, 85.239324
68400, 75.488256
69300, 75.013429
70200, 75.750180
71100, 75.613102
72000, 67.500168
72900, 67.075587
73800, 67.734375
74700, 67.611802
75600, 63.220568
76500, 62.822906
77400, 63.439926
78300, 63.325125
79200, 55.895086
80100, 55.543502
81000, 56.089027
81900, 55.987528
82800, 49.171515
83700, 48.862223
84600, 49.342127
85500, 49.252837
86400, 47.581626
87300, 47.282334
88200, 47.746721
89100, 47.660318
90000, 48.702877
90900, 48.396532
91800, 48.871862
92700, 48.783423
93600, 50.024843
94500, 49.710183
95400, 50.198415
96300, 50.107576
97200, 51.624044
98100, 51.299325
99000, 51.803165
99900, 51.709421
100800, 53.452954
101700, 53.116731
102600, 53.638421
103500, 53.541356
104400, 52.624944
105300, 52.293929
106200, 52.807538
107100, 52.711977
108000, 77.194718
108900, 76.709158
109800, 77.462563
110700, 77.322386
111600, 102.530645
112500, 101.885720
113400, 102.886398
114300, 102.700214
115200, 103.436834
116100, 102.786209
117000, 103.795731
117900, 103.607902
118800, 102.624459
119700, 101.978943
120600, 102.980537
121500, 102.794183
122400, 98.373043
123300, 97.754270
124200, 98.714371
125100, 98.535736
126000, 95.854939
126900, 95.252004
127800, 96.187529
128700, 96.013468
129600, 94.557973
130500, 93.963197
131400, 94.886064
132300, 94.714357
133200, 98.186444
134100, 97.568845
135000, 98.527124
135900, 98.348829
136800, 98.704171
137700, 98.083315
138600, 99.046648
139500, 98.867412
140400, 96.373356
141300, 95.767160
142200, 96.707745
143100, 96.532742
144000, 100.120591
144900, 99.490825
145800, 100.467982
146700, 100.286174
147600, 97.542204
148500, 96.928656
149400, 97.880648
150300, 97.703523
151200, 87.858393
152100, 87.305757
153000, 88.163237
153900, 88.003696
154800, 77.936394
155700, 77.446168
156600, 78.206812
157500, 78.065288
158400, 69.689246
159300, 69.250896
160200, 69.931049
161100, 69.804501
162000, 65.270856
162900, 64.860298
163800, 65.497328
164700, 65.378804
165600, 57.707804
166500, 57.344817
167400, 57.908034
168300, 57.803243
169200, 50.766182
170100, 50.446859
171000, 50.942327
171900, 50.850141
172800, 47.952675
173700, 47.651049
174600, 48.119058
175500, 48.031981
