# ENERGY DEMAND GROUP 37
# Households in Cairo with an annual energy consumption of 8.04e+14 J.
#
# time [s], power [MW]
0, 1.879216
900, 1.814067
1800, 1.867448
2700, 1.756080
3600, 1.825772
4500, 1.762476
5400, 1.814339
6300, 1.706137
7200, 1.730980
8100, 1.670970
9000, 1.720140
9900, 1.617556
10800, 1.757166
11700, 1.696248
12600, 1.746162
13500, 1.642027
14400, 1.780125
15300, 1.718412
16200, 1.768978
17100, 1.663482
18000, 1.873435
18900, 1.808486
19800, 1.861703
20700, 1.750677
21600, 3.783275
22500, 3.652116
23400, 3.759584
24300, 3.535374
25200, 14.873691
26100, 14.358048
27000, 14.780550
27900, 13.899085
28800, 27.839252
29700, 26.874118
30600, 27.664919
31500, 26.015071
32400, 34.263402
33300, 33.075554
34200, 34.048840
35100, 32.018275
36000, 35.509139
36900, 34.278103
37800, 35.286776
38700, 33.182385
39600, 38.367044
40500, 37.036930
41400, 38.126784
42300, 35.853024
43200, 36.397654
44100, 35.135815
45000, 36.169727
45900, 34.012679
46800, 34.212811
47700, 33.026717
48600, 33.998566
49500, 31.971000
50400, 30.984816
51300, 29.910631
52200, 30.790785
53100, 28.954521
54000, 33.363425
54900, 32.206777
55800, 33.154498
56700, 31.177270
57600, 30.827104
58500, 29.758386
59400, 30.634060
60300, 28.807143
61200, 31.334518
62100, 30.248209
63000, 31.138297
63900, 29.281308
64800, 35.206719
65700, 33.986168
66600, 34.986250
67500, 32.899781
68400, 35.358964
69300, 34.133135
70200, 35.137541
71100, 33.042050
72000, 38.729715
72900, 37.387029
73800, 38.487185
74700, 36.191931
75600, 38.177774
76500, 36.854222
77400, 37.938700
78300, 35.676156
79200, 27.400082
80100, 26.450173
81000, 27.228499
81900, 25.604678
82800, 16.306626
83700, 15.741305
84600, 16.204511
85500, 15.238126
86400, 1.728635
87300, 1.668706
88200, 1.717810
89100, 1.615365
90000, 1.679473
90900, 1.621249
91800, 1.668956
92700, 1.569425
93600, 1.592276
94500, 1.537075
95400, 1.582305
96300, 1.487942
97200, 1.616364
98100, 1.560328
99000, 1.606243
99900, 1.510451
100800, 1.637484
101700, 1.580715
102600, 1.627230
103500, 1.530187
104400, 1.723317
105300, 1.663572
106200, 1.712525
107100, 1.610395
108000, 3.480122
108900, 3.359472
109800, 3.458329
110700, 3.252085
111600, 13.681864
112500, 13.207540
113400, 13.596187
114300, 12.785353
115200, 25.608497
116100, 24.720698
117000, 25.448133
117900, 23.930487
118800, 31.517880
119700, 30.425214
120600, 31.320511
121500, 29.452655
122400, 32.663796
123300, 31.531404
124200, 32.459251
125100, 30.523485
126000, 35.292698
126900, 34.069166
127800, 35.071690
128700, 32.980126
129600, 33.481115
130500, 32.320387
131400, 33.271452
132300, 31.287248
133200, 31.471344
134100, 30.380291
135000, 31.274266
135900, 29.409168
136800, 28.502007
137700, 27.513896
138600, 28.323524
139500, 26.634399
140400, 30.690018
141300, 29.626053
142200, 30.497833
143100, 28.679039
144000, 28.356932
144900, 27.373851
145800, 28.179357
146700, 26.498830
147600, 28.823688
148500, 27.824424
149400, 28.643190
150300, 26.935001
151200, 32.385609
152100, 31.262861
153000, 32.182806
153900, 30.263526
154800, 32.525655
155700, 31.398051
156600, 32.321975
157500, 30.394395
158400, 35.626309
159300, 34.391211
160200, 35.403212
161100, 33.291877
162000, 35.118594
162900, 33.901099
163800, 34.898677
164700, 32.817431
165600, 25.204517
166500, 24.330724
167400, 25.046683
168300, 23.552979
169200, 14.999978
170100, 14.479957
171000, 14.906046
171900, 14.017097
172800, 1.640579
173700, 1.583703
174600, 1.630305
175500, 1.533079
176400, 1.593921
177300, 1.538663
178200, 1.583940
179100, 1.489479
180000, 1.511166
180900, 1.458777
181800, 1.501703
182700, 1.412146
183600, 1.534027
184500, 1.480846
185400, 1.524421
186300, 1.433509
187200, 1.554071
188100, 1.500194
189000, 1.544339
189900, 1.452240
190800, 1.635531
191700, 1.578831
192600, 1.625289
193500, 1.528362
194400, 3.302846
195300, 3.188342
196200, 3.282163
197100, 3.086425
198000, 12.984915
198900, 12.534752
199800, 12.903601
200700, 12.134072
201600, 24.304009
202500, 23.461434
203400, 24.151814
204300, 22.711476
205200, 29.912370
206100, 28.875364
207000, 29.725055
207900, 27.952347
208800, 30.999914
209700, 29.925205
210600, 30.805788
211500, 28.968629
212400, 33.494900
213300, 32.333695
214200, 33.285150
215100, 31.300130
216000, 31.775598
216900, 30.673998
217800, 31.576615
218700, 29.693486
219600, 29.868204
220500, 28.832729
221400, 29.681165
222300, 27.911075
223200, 27.050125
224100, 26.112348
225000, 26.880733
225900, 25.277652
226800, 29.126679
227700, 28.116912
228600, 28.944284
