# ENERGY DEMAND GROUP 38
# Public transport provider in Luxemburg with an annual energy consumption of 7.57e+14 J.
#
# time [s], power [MW]
0, 3.234768
900, 3.240590
1800, 3.240190
2700, 3.251537
3600, 2.990871
4500, 2.996255
5400, 2.995885
6300, 3.006376
7200, 3.131525
8100, 3.137162
9000, 3.136775
9900, 3.147759
10800, 3.131924
11700, 3.137561
12600, 3.137174
13500, 3.148159
14400, 3.141462
15300, 3.147117
16200, 3.146729
17100, 3.157748
18000, 6.066758
18900, 6.077678
19800, 6.076928
20700, 6.098208
21600, 24.241803
22500, 24.285438
23400, 24.282440
24300, 24.367472
25200, 54.054087
26100, 54.151385
27000, 54.144699
27900, 54.334304
28800, 59.605162
29700, 59.712452
30600, 59.705079
31500, 59.914156
32400, 58.262167
33300, 58.367039
34200, 58.359833
35100, 58.564199
36000, 40.881523
36900, 40.955110
37800, 40.950054
38700, 41.093453
39600, 30.652524
40500, 30.707698
41400, 30.703907
42300, 30.811427
43200, 24.767685
44100, 24.812267
45000, 24.809203
45900, 24.896081
46800, 25.675300
47700, 25.721515
48600, 25.718340
49500, 25.808401
50400, 24.715793
51300, 24.760282
52200, 24.757225
53100, 24.843920
54000, 29.682564
54900, 29.735993
55800, 29.732321
56700, 29.836438
57600, 41.307532
58500, 41.381886
59400, 41.376777
60300, 41.521671
61200, 52.884686
62100, 52.979879
63000, 52.973338
63900, 53.158841
64800, 57.438006
65700, 57.541395
66600, 57.534291
67500, 57.735766
68400, 51.311746
69300, 51.404107
70200, 51.397761
71100, 51.577746
72000, 31.517733
72900, 31.574465
73800, 31.570567
74700, 31.681121
75600, 18.875213
76500, 18.909188
77400, 18.906854
78300, 18.973062
79200, 6.037328
80100, 6.048196
81000, 6.047449
81900, 6.068626
82800, 3.153220
83700, 3.158896
84600, 3.158506
85500, 3.169567
86400, 3.245358
87300, 3.251199
88200, 3.250798
89100, 3.262182
90000, 3.000663
90900, 3.006064
91800, 3.005693
92700, 3.016218
93600, 3.141777
94500, 3.147432
95400, 3.147044
96300, 3.158064
97200, 3.142177
98100, 3.147833
99000, 3.147444
99900, 3.158466
100800, 3.151747
101700, 3.157420
102600, 3.157030
103500, 3.168086
104400, 6.086619
105300, 6.097575
106200, 6.096822
107100, 6.118172
108000, 24.321165
108900, 24.364943
109800, 24.361935
110700, 24.447246
111600, 54.231048
112500, 54.328664
113400, 54.321957
114300, 54.512182
115200, 59.800296
116100, 59.907937
117000, 59.900541
117900, 60.110302
118800, 58.452904
119700, 58.558120
120600, 58.550890
121500, 58.755925
122400, 41.015360
123300, 41.089188
124200, 41.084115
125100, 41.227984
126000, 30.752873
126900, 30.808229
127800, 30.804425
128700, 30.912296
129600, 24.848769
130500, 24.893497
131400, 24.890423
132300, 24.977585
133200, 25.759355
134100, 25.805722
135000, 25.802536
135900, 25.892892
136800, 24.796707
137700, 24.841342
138600, 24.838275
139500, 24.925254
140400, 29.779738
141300, 29.833342
142200, 29.829658
143100, 29.934116
144000, 41.442764
144900, 41.517361
145800, 41.512235
146700, 41.657604
147600, 53.057819
148500, 53.153323
149400, 53.146761
150300, 53.332871
151200, 57.626046
152100, 57.729773
153000, 57.722645
153900, 57.924780
154800, 51.479729
155700, 51.572393
156600, 51.566026
157500, 51.746600
158400, 31.620915
159300, 31.677833
160200, 31.673922
161100, 31.784838
162000, 18.937006
162900, 18.971093
163800, 18.968751
164700, 19.035176
165600, 6.057093
166500, 6.067996
167400, 6.067247
168300, 6.088493
169200, 3.163543
170100, 3.169238
171000, 3.168846
171900, 3.179943
172800, 3.163788
173700, 3.169483
174600, 3.169092
175500, 3.180190
176400, 2.925243
177300, 2.930509
178200, 2.930147
179100, 2.940408
180000, 3.062811
180900, 3.068324
181800, 3.067945
182700, 3.078689
183600, 3.063201
184500, 3.068715
185400, 3.068336
186300, 3.079081
187200, 3.072531
188100, 3.078061
189000, 3.077681
189900, 3.088459
190800, 5.933637
191700, 5.944318
192600, 5.943584
193500, 5.964397
194400, 23.709874
195300, 23.752552
196200, 23.749619
197100, 23.832786
198000, 52.867998
