# ENERGY DEMAND GROUP 39
# Household in Rotterdam with an annual energy consumption of 8.51e+09 J.
#
# time [s], power [W]
0, 19.943541
900, 19.595660
1800, 19.366688
2700, 19.713677
3600, 21.265194
4500, 20.894259
5400, 20.650113
6300, 21.020097
7200, 20.596275
8100, 20.237008
9000, 20.000542
9900, 20.358887
10800, 21.032846
11700, 20.665964
12600, 20.424486
13500, 20.790427
14400, 21.075663
15300, 20.708033
16200, 20.466064
17100, 20.832750
18000, 22.929193
18900, 22.529232
19800, 22.265982
20700, 22.664917
21600, 43.839978
22500, 43.075263
23400, 42.571937
24300, 43.334689
25200, 164.074059
26100, 161.212065
27000, 159.328331
27900, 162.182981
28800, 284.483400
29700, 279.521069
30600, 276.254915
31500, 281.204513
32400, 322.307762
33300, 316.685649
34200, 312.985233
35100, 318.592920
36000, 382.226166
36900, 375.558878
37800, 371.170538
38700, 377.820719
39600, 384.610167
40500, 377.901293
41400, 373.485584
42300, 380.177242
43200, 434.335927
44100, 426.759672
45000, 421.773061
45900, 429.329875
46800, 446.653941
47700, 438.862819
48600, 433.734785
49500, 441.505915
50400, 378.200869
51300, 371.603795
52200, 367.261670
53100, 373.841816
54000, 344.309737
54900, 338.303837
55800, 334.350816
56700, 340.341306
57600, 348.143225
58500, 342.070456
59400, 338.073423
60300, 344.130610
61200, 338.036465
62100, 332.139992
63000, 328.258994
63900, 334.140338
64800, 388.337125
65700, 381.563241
66600, 377.104742
67500, 383.861244
68400, 392.768298
69300, 385.917120
70200, 381.407747
71100, 388.241345
72000, 432.301087
72900, 424.760326
73800, 419.797077
74700, 427.318488
75600, 400.388649
76500, 393.404547
77400, 388.807684
78300, 395.773866
79200, 281.748503
80100, 276.833877
81000, 273.599122
81900, 278.501137
82800, 153.880671
83700, 151.196483
84600, 149.429779
85500, 152.107079
86400, 21.401355
87300, 21.028044
88200, 20.782335
89100, 21.154688
90000, 22.819617
90900, 22.421567
91800, 22.159575
92700, 22.556603
93600, 22.101802
94500, 21.716273
95400, 21.462522
96300, 21.847062
97200, 22.570285
98100, 22.176584
99000, 21.917455
99900, 22.310145
100800, 22.616231
101700, 22.221729
102600, 21.962072
103500, 22.355561
104400, 24.605249
105300, 24.176052
106200, 23.893559
107100, 24.321655
108000, 47.044549
108900, 46.223937
109800, 45.683818
110700, 46.502325
111600, 176.067384
112500, 172.996187
113400, 170.974757
114300, 174.038074
115200, 305.278290
116100, 299.953227
117000, 296.448326
117900, 301.759725
118800, 345.867500
119700, 339.834427
120600, 335.863521
121500, 341.881114
122400, 410.165760
123300, 403.011113
124200, 398.301999
125100, 405.438288
126000, 412.724024
126900, 405.524752
127800, 400.786267
128700, 407.967066
129600, 466.084589
130500, 457.954533
131400, 452.603415
132300, 460.712610
133200, 479.303014
134100, 470.942384
135000, 465.439505
135900, 473.778682
136800, 405.846225
137700, 398.766925
138600, 394.107404
139500, 401.168539
140400, 369.477753
141300, 363.032839
142200, 358.790865
143100, 365.219241
144000, 373.591458
144900, 367.074787
145800, 362.785583
146700, 369.285532
147600, 362.745924
148500, 356.418436
149400, 352.253749
150300, 358.565002
151200, 416.723412
152100, 409.454378
153000, 404.669976
153900, 411.920358
154800, 421.478491
155700, 414.126512
156600, 409.287517
157500, 416.620631
158400, 463.901009
159300, 455.809041
160200, 450.482993
161100, 458.554197
162000, 429.655867
162900, 422.161247
163800, 417.228368
164700, 424.703756
165600, 302.343479
166500, 297.069609
167400, 293.598403
168300, 298.858741
169200, 165.128889
170100, 162.248495
171000, 160.352650
171900, 163.225653
172800, 18.678280
173700, 18.352469
174600, 18.138024
175500, 18.462999
176400, 19.916085
177300, 19.568683
178200, 19.340026
179100, 19.686537
180000, 19.289604
180900, 18.953129
181800, 18.731665
182700, 19.067276
183600, 19.698478
184500, 19.354871
185400, 19.128713
186300, 19.471438
187200, 19.738578
188100, 19.394272
189000, 19.167653
189900, 19.511076
