# ENERGY DEMAND GROUP 40
# Households in a village in North Brabant with an annual energy consumption of 8.04e+13 J.
#
# time [s], power [MW]
0, 0.160868
900, 0.162382
1800, 0.157277
2700, 0.165095
3600, 0.163929
4500, 0.165472
5400, 0.160270
6300, 0.168236
7200, 0.161996
8100, 0.163520
9000, 0.158379
9900, 0.166252
10800, 0.150622
11700, 0.152040
12600, 0.147260
13500, 0.154580
14400, 0.160022
15300, 0.161528
16200, 0.156450
17100, 0.164227
18000, 0.162761
18900, 0.164293
19800, 0.159127
20700, 0.167038
21600, 0.338949
22500, 0.342139
23400, 0.331382
24300, 0.347855
25200, 1.431605
26100, 1.445080
27000, 1.399646
27900, 1.469221
28800, 2.859551
29700, 2.886465
30600, 2.795714
31500, 2.934687
32400, 3.013678
33300, 3.042043
34200, 2.946400
35100, 3.092864
36000, 3.013335
36900, 3.041696
37800, 2.946064
38700, 3.092511
39600, 2.857048
40500, 2.883939
41400, 2.793267
42300, 2.932118
43200, 3.133361
44100, 3.162852
45000, 3.063411
45900, 3.215691
46800, 2.843919
47700, 2.870686
48600, 2.780431
49500, 2.918644
50400, 2.899137
51300, 2.926423
52200, 2.834416
53100, 2.975312
54000, 3.111124
54900, 3.140406
55800, 3.041671
56700, 3.192870
57600, 3.397784
58500, 3.429764
59400, 3.321931
60300, 3.487062
61200, 3.278247
62100, 3.309102
63000, 3.205063
63900, 3.364384
64800, 3.297138
65700, 3.328171
66600, 3.223532
67500, 3.383772
68400, 3.024926
69300, 3.053396
70200, 2.957397
71100, 3.104407
72000, 2.767224
72900, 2.793269
73800, 2.705448
74700, 2.839934
75600, 2.470094
76500, 2.493343
77400, 2.414952
78300, 2.534997
79200, 1.929103
80100, 1.947260
81000, 1.886038
81900, 1.979791
82800, 1.084125
83700, 1.094329
84600, 1.059923
85500, 1.112611
86400, 0.172196
87300, 0.173817
88200, 0.168352
89100, 0.176720
90000, 0.175473
90900, 0.177124
91800, 0.171555
92700, 0.180083
93600, 0.173403
94500, 0.175035
95400, 0.169532
96300, 0.177959
97200, 0.161229
98100, 0.162746
99000, 0.157629
99900, 0.165465
100800, 0.171290
101700, 0.172902
102600, 0.167466
103500, 0.175791
104400, 0.174222
105300, 0.175862
106200, 0.170333
107100, 0.178800
108000, 0.362817
108900, 0.366232
109800, 0.354718
110700, 0.372350
111600, 1.532416
112500, 1.546839
113400, 1.498206
114300, 1.572681
115200, 3.060914
116100, 3.089724
117000, 2.992582
117900, 3.141341
118800, 3.225895
119700, 3.256257
120600, 3.153880
121500, 3.310657
122400, 3.225527
123300, 3.255886
124200, 3.153520
125100, 3.310279
126000, 3.058235
126900, 3.087019
127800, 2.989963
128700, 3.138591
129600, 3.354005
130500, 3.385573
131400, 3.279130
132300, 3.442133
133200, 3.044181
134100, 3.072833
135000, 2.976222
135900, 3.124168
136800, 3.103288
137700, 3.132496
138600, 3.034009
139500, 3.184827
140400, 3.330203
141300, 3.361546
142200, 3.255858
143100, 3.417705
144000, 3.637049
144900, 3.671280
145800, 3.555854
146700, 3.732613
147600, 3.509094
148500, 3.542121
149400, 3.430756
150300, 3.601296
151200, 3.529316
152100, 3.562533
153000, 3.450526
153900, 3.622049
154800, 3.237934
155700, 3.268410
156600, 3.165650
157500, 3.323012
158400, 2.962086
159300, 2.989965
160200, 2.895960
161100, 3.039916
162000, 2.644033
162900, 2.668919
163800, 2.585007
164700, 2.713506
165600, 2.064947
166500, 2.084382
167400, 2.018848
168300, 2.119204
169200, 1.160467
170100, 1.171389
