# ENERGY SUPPLY GROUP 40
# 12 wind turbines near a village in North Brabant.
#
# time [s], power [MW]
0, 1.368688
900, 1.647007
1800, 1.647007
2700, 1.940785
3600, 2.250439
4500, 2.250439
5400, 2.576386
6300, 2.576386
7200, 2.919046
8100, 2.919046
9000, 2.576386
9900, 2.576386
10800, 2.576386
11700, 2.576386
12600, 2.919046
13500, 2.919046
14400, 2.919046
15300, 3.278835
16200, 3.278835
17100, 3.278835
18000, 3.656171
18900, 3.656171
19800, 3.656171
20700, 4.051472
21600, 4.051472
22500, 4.465156
23400, 4.465156
24300, 4.897641
25200, 5.349344
26100, 5.349344
27000, 5.349344
27900, 5.349344
28800, 5.820684
29700, 5.820684
30600, 5.820684
31500, 5.820684
32400, 5.820684
33300, 5.820684
34200, 5.820684
35100, 5.349344
36000, 5.349344
36900, 5.349344
37800, 5.349344
38700, 4.897641
39600, 4.897641
40500, 4.897641
41400, 5.349344
42300, 5.349344
43200, 5.820684
44100, 5.349344
45000, 5.349344
45900, 5.349344
46800, 4.897641
47700, 4.465156
48600, 4.051472
49500, 3.656171
50400, 2.919046
51300, 2.919046
52200, 2.576386
53100, 2.576386
54000, 2.250439
54900, 2.576386
55800, 2.576386
56700, 2.576386
57600, 2.576386
58500, 2.919046
59400, 2.919046
60300, 3.278835
61200, 3.278835
62100, 3.656171
63000, 4.051472
63900, 4.465156
64800, 4.465156
65700, 4.465156
66600, 4.465156
67500, 4.465156
68400, 4.465156
69300, 4.465156
70200, 4.465156
71100, 4.465156
72000, 4.465156
72900, 4.051472
73800, 4.051472
74700, 4.051472
75600, 3.656171
76500, 3.656171
77400, 3.278835
78300, 3.278835
79200, 2.919046
80100, 2.919046
81000, 2.919046
81900, 2.919046
82800, 2.919046
83700, 2.919046
84600, 2.919046
85500, 2.919046
86400, 2.919046
87300, 3.278835
88200, 3.656171
89100, 4.051472
90000, 4.465156
90900, 4.465156
91800, 4.897641
92700, 4.897641
93600, 4.897641
94500, 4.897641
95400, 4.465156
96300, 4.051472
97200, 4.051472
98100, 3.656171
99000, 3.278835
99900, 2.576386
100800, 2.250439
101700, 2.576386
102600, 2.919046
103500, 3.278835
104400, 3.278835
105300, 2.919046
106200, 2.250439
107100, 1.647007
108000, 1.105409
108900, 1.105409
109800, 0.856753
110700, 0.622302
111600, 0.622302
112500, 0.856753
113400, 1.105409
114300, 1.368688
115200, 1.647007
116100, 1.940785
117000, 2.250439
117900, 2.576386
118800, 2.919046
119700, 2.919046
120600, 2.919046
121500, 2.919046
122400, 3.278835
123300, 3.656171
124200, 4.465156
125100, 5.349344
126000, 5.820684
126900, 5.820684
127800, 5.820684
128700, 5.820684
129600, 5.820684
130500, 4.897641
131400, 4.465156
132300, 3.656171
133200, 2.919046
134100, 1.940785
135000, 1.105409
135900, 0.401638
136800, 0.000000
137700, 0.000000
138600, 0.000000
139500, 0.000000
140400, 0.000000
141300, 0.000000
142200, 0.000000
143100, 0.000000
144000, 0.000000
144900, 0.000000
145800, 0.000000
146700, 0.000000
147600, 0.000000
148500, 0.000000
149400, 0.000000
150300, 0.000000
151200, 0.000000
152100, 0.000000
153000, 0.000000
153900, 0.000000
154800, 0.000000
155700, 0.000000
156600, 0.000000
157500, 0.000000
158400, 0.000000
159300, 0.000000
160200, 0.000000
161100, 0.000000
162000, 0.000000
162900, 0.000000
163800, 0.000000
164700, 0.000000
165600, 0.000000
166500, 0.000000
167400, 0.000000
168300, 0.000000
169200, 0.000000
170100, 0.000000
171000, 0.000000
171900, 0.000000
172800, 0.000000
173700, 0.000000
174600, 0.000000
175500, 0.000000
176400, 0.000000
177300, 0.000000
178200, 0.000000
179100, 0.000000
180000, 0.000000
180900, 0.000000
181800, 0.000000
182700, 0.000000
183600, 0.000000
184500, 0.000000
185400, 0.000000
186300, 0.000000
187200, 0.000000
188100, 0.000000
189000, 0.000000
189900, 0.000000
190800, 0.000000
191700, 0.000000
192600, 0.000000
193500, 0.000000
194400, 0.000000
195300, 0.000000
196200, 0.000000
197100, 0.000000
198000, 0.000000
198900, 0.000000
199800, 0.000000
200700, 0.000000
201600, 0.000000
202500, 0.000000
203400, 0.000000
204300, 0.000000
205200, 0.000000
206100, 0.000000
207000, 0.000000
207900, 0.000000
208800, 0.000000
209700, 0.000000
210600, 0.194343
211500, 0.401638
212400, 0.622302
213300, 0.622302
214200, 0.856753
