# ENERGY DEMAND GROUP 02
# Industrial building in Amsterdam with an annual energy consumption of 5.68e+12 J.
#
# time [s], power [kW]
0, 141.135808
900, 140.413748
1800, 138.690428
2700, 142.136343
3600, 141.349764
4500, 140.626609
5400, 138.900676
6300, 142.351815
7200, 137.572588
8100, 136.868757
9000, 135.188946
9900, 138.547863
10800, 139.835411
11700, 139.120003
12600, 137.412562
13500, 140.826727
14400, 138.010346
15300, 137.304276
16200, 135.619119
17100, 138.988724
18000, 140.153566
18900, 139.436531
19800, 137.725205
20700, 141.147138
21600, 212.379665
22500, 211.293116
23400, 208.699883
24300, 213.885259
25200, 275.429105
26100, 274.019991
27000, 270.656901
27900, 277.381667
28800, 266.986212
29700, 265.620293
30600, 262.360294
31500, 268.878922
32400, 274.945366
33300, 273.538728
34200, 270.181544
35100, 276.894500
36000, 277.220341
36900, 275.802063
37800, 272.417101
38700, 279.185602
39600, 273.181009
40500, 271.783397
41400, 268.447757
42300, 275.117635
43200, 268.235398
44100, 266.863088
45000, 263.587835
45900, 270.136963
46800, 277.985533
47700, 276.563341
48600, 273.169036
49500, 279.956219
50400, 289.482937
51300, 288.001923
52200, 284.467230
53100, 291.535129
54000, 299.968464
54900, 298.433805
55800, 294.771081
56700, 302.094990
57600, 278.416448
58500, 276.992051
59400, 273.592484
60300, 280.390188
61200, 272.929692
62100, 271.533365
63000, 268.200794
63900, 274.864535
64800, 250.455854
65700, 249.174505
66600, 246.116347
67500, 252.231376
68400, 227.893188
69300, 226.727271
70200, 223.944612
71100, 229.508761
72000, 199.408003
72900, 198.387818
73800, 195.952973
74700, 200.821639
75600, 169.030050
76500, 168.165281
77400, 166.101362
78300, 170.228332
79200, 145.675965
80100, 144.930677
81000, 143.151920
81900, 146.708686
82800, 126.844318
83700, 126.195374
84600, 124.646558
85500, 127.743538
86400, 151.324550
87300, 150.550364
88200, 148.702636
89100, 152.397315
90000, 151.553951
90900, 150.778591
91800, 148.928062
92700, 152.628342
93600, 147.504097
94500, 146.749456
95400, 144.948377
96300, 148.549778
97200, 149.930275
98100, 149.163222
99000, 147.332519
99900, 150.993156
100800, 147.973457
101700, 147.216415
102600, 145.409605
103500, 149.022466
104400, 150.271399
105300, 149.502601
106200, 147.667732
107100, 151.336698
108000, 227.711575
108900, 226.546587
109800, 223.766146
110700, 229.325860
111600, 295.312620
112500, 293.801781
113400, 290.195906
114300, 297.406140
115200, 286.260227
116100, 284.795700
117000, 281.300358
117900, 288.289573
118800, 294.793961
119700, 293.285775
120600, 289.686233
121500, 296.883804
122400, 297.233168
123300, 295.712503
124200, 292.083177
125100, 299.340303
126000, 292.902233
126900, 291.403725
127800, 287.827282
128700, 294.978665
129600, 287.599592
130500, 286.128214
131400, 282.616518
132300, 289.638433
133200, 298.053600
134100, 296.528738
135000, 292.889395
135900, 300.166552
136800, 310.381013
137700, 308.793083
138600, 305.003218
139500, 312.581356
140400, 321.623502
141300, 319.978054
142200, 316.050914
143100, 323.903544
144000, 298.515623
144900, 296.988397
145800, 293.343413
146700, 300.631850
147600, 292.632772
