# ENERGY DEMAND GROUP 43
# Public transport provider with an annual energy consumption of 1.34e+15 J.
#
# time [s], power [MW]
0, 5.558770
900, 5.477882
1800, 5.542202
2700, 5.488410
3600, 5.493152
4500, 5.413219
5400, 5.476779
6300, 5.423623
7200, 5.655648
8100, 5.573350
9000, 5.638791
9900, 5.584062
10800, 5.433261
11700, 5.354199
12600, 5.417067
13500, 5.364490
14400, 5.495377
15300, 5.415412
16200, 5.478998
17100, 5.425820
18000, 11.466471
18900, 11.299617
19800, 11.432293
20700, 11.321334
21600, 46.518320
22500, 45.841411
23400, 46.379666
24300, 45.929515
25200, 104.096400
26100, 102.581646
27000, 103.786128
27900, 102.778803
28800, 117.679876
29700, 115.967463
30600, 117.329117
31500, 116.190346
32400, 111.922341
33300, 110.293709
34200, 111.588744
35100, 110.505687
36000, 80.279265
36900, 79.111085
37800, 80.039983
38700, 79.263132
39600, 56.246984
40500, 55.428509
41400, 56.079334
42300, 55.535040
43200, 44.687676
44100, 44.037405
45000, 44.554479
45900, 44.122043
46800, 44.046056
47700, 43.405122
48600, 43.914771
49500, 43.488544
50400, 42.153041
51300, 41.539653
52200, 42.027399
53100, 41.619490
54000, 55.422273
54900, 54.615799
55800, 55.257081
56700, 54.720768
57600, 78.491705
58500, 77.349537
59400, 78.257751
60300, 77.498199
61200, 100.533033
62100, 99.070132
63000, 100.233383
63900, 99.260539
64800, 110.338236
65700, 108.732655
66600, 110.009360
67500, 108.941633
68400, 106.958044
69300, 105.401650
70200, 106.639243
71100, 105.604226
72000, 60.896744
72900, 60.010608
73800, 60.715234
74700, 60.125945
75600, 35.553851
76500, 35.036491
77400, 35.447879
78300, 35.103829
79200, 12.027117
80100, 11.852105
81000, 11.991269
81900, 11.874884
82800, 5.959072
83700, 5.872359
84600, 5.941310
85500, 5.883645
86400, 5.327535
87300, 5.250011
88200, 5.311655
89100, 5.260101
90000, 5.264646
90900, 5.188038
91800, 5.248954
92700, 5.198009
93600, 5.420382
94500, 5.341508
95400, 5.404226
96300, 5.351774
97200, 5.207246
98100, 5.131473
99000, 5.191725
99900, 5.141336
100800, 5.266779
101700, 5.190139
102600, 5.251080
103500, 5.200114
104400, 10.989484
105300, 10.829571
106200, 10.956729
107100, 10.850385
108000, 44.583233
108900, 43.934482
109800, 44.450347
110700, 44.018922
111600, 99.766158
112500, 98.314416
113400, 99.468794
114300, 98.503371
115200, 112.784584
116100, 111.143404
117000, 112.448416
117900, 111.357016
118800, 107.266553
119700, 105.705669
120600, 106.946833
121500, 105.908830
122400, 76.939777
123300, 75.820192
124200, 76.710449
125100, 75.965915
126000, 53.907201
126900, 53.122773
127800, 53.746524
128700, 53.224872
129600, 42.828741
130500, 42.205521
131400, 42.701085
132300, 42.286637
133200, 42.213811
134100, 41.599539
135000, 42.087988
135900, 41.679491
136800, 40.399543
137700, 39.811671
138600, 40.279127
139500, 39.888187
140400, 53.116797
141300, 52.343870
142200, 52.958476
143100, 52.444472
144000, 75.226577
144900, 74.131922
145800, 75.002356
146700, 74.274399
147600, 96.351022
148500, 94.948975
149400, 96.063836
150300, 95.131462
151200, 105.748345
152100, 104.209553
153000, 105.433149
153900, 104.409838
154800, 102.508763
155700, 101.017112
156600, 102.203224
157500, 101.211261
158400, 58.363538
159300, 57.514264
160200, 58.189579
161100, 57.624803
162000, 34.074869
162900, 33.579030
163800, 33.973304
164700, 33.643567
165600, 11.526809
166500, 11.359077
167400, 11.492452
168300, 11.380909
169200, 5.711184
170100, 5.628078
171000, 5.694161
171900, 5.638895
172800, 5.196056
173700, 5.120446
174600, 5.180568
175500, 5.130287
176400, 5.134719
177300, 5.060002
178200, 5.119415
179100, 5.069727
180000, 5.286612
180900, 5.209684
181800, 5.270855
182700, 5.219697
183600, 5.078736
184500, 5.004833
185400, 5.063598
186300, 5.014452
187200, 5.136799
188100, 5.062051
189000, 5.121488
189900, 5.071780
190800, 10.718273
191700, 10.562307
192600, 10.686326
193500, 10.582607
194400, 43.482959
195300, 42.850219
196200, 43.353353
197100, 42.932575
198000, 97.304019
198900, 95.888105
199800, 97.013993
200700, 96.072397
201600, 110.001162
202500, 108.400485
203400, 109.673290
204300, 108.608825
205200, 104.619311
206100, 103.096949
207000, 104.307481
207900, 103.295095
208800, 75.040973
209700, 73.949018
210600, 74.817305
211500, 74.091144
212400, 52.576820
213300, 51.811751
214200, 52.420108
215100, 51.911330
216000, 41.771766
216900, 41.163926
217800, 41.647261
218700, 41.243041
219600, 41.172012
220500, 40.572900
221400, 41.049294
222300, 40.650879
223200, 39.402518
224100, 38.829154
225000, 39.285074
225900, 38.903782
226800, 51.805922
227700, 51.052071
228600, 51.651508
229500, 51.150190
230400, 73.370053
231300, 72.302413
232200, 73.151365
233100, 72.441374
234000, 93.973166
234900, 92.605720
235800, 93.693068
236700, 92.783703
237600, 103.138571
238500, 101.637755
239400, 102.831154
240300, 101.833097
241200, 99.978939
242100, 98.524100
243000, 99.680940
243900, 98.713459
244800, 56.923179
245700, 56.094864
246600, 56.753512
247500, 56.202675
248400, 33.233932
249300, 32.750330
250200, 33.134874
251100, 32.813274
252000, 11.242338
252900, 11.078745
253800, 11.208828
254700, 11.100038
255600, 5.570237
256500, 5.489182
257400, 5.553635
258300, 5.499732
259200, 5.252574
260100, 5.176142
261000, 5.236918
261900, 5.186090
