# ENERGY SUPPLY GROUP 44
# 3 wind turbines situated in the Flevopolder.
#
# time [s], power [MW]
0, 1.017855
900, 1.017855
1800, 1.116442
2700, 1.116442
3600, 1.116442
4500, 1.219410
5400, 1.326854
6300, 1.438869
7200, 1.555552
8100, 1.676996
9000, 1.803297
9900, 1.934551
10800, 2.070852
11700, 2.212296
12600, 2.358978
13500, 2.510994
14400, 2.668438
15300, 2.831405
16200, 2.831405
17100, 2.831405
18000, 2.999992
18900, 2.999992
19800, 2.831405
20700, 2.831405
21600, 2.831405
22500, 2.668438
23400, 2.510994
24300, 2.358978
25200, 2.212296
26100, 2.070852
27000, 2.070852
27900, 1.934551
28800, 1.803297
29700, 1.803297
30600, 1.676996
31500, 1.676996
32400, 1.676996
33300, 1.555552
34200, 1.555552
35100, 1.555552
36000, 1.555552
36900, 1.676996
37800, 1.934551
38700, 2.070852
39600, 2.358978
40500, 2.358978
41400, 2.510994
42300, 2.668438
43200, 2.668438
44100, 2.668438
45000, 2.668438
45900, 2.668438
46800, 2.668438
47700, 2.668438
48600, 2.510994
49500, 2.510994
50400, 2.510994
51300, 2.510994
52200, 2.668438
53100, 2.831405
54000, 2.831405
54900, 2.999992
55800, 3.174293
56700, 3.354404
57600, 3.354404
58500, 3.540420
59400, 3.540420
60300, 3.540420
61200, 3.540420
62100, 3.540420
63000, 3.540420
63900, 3.732435
64800, 3.732435
65700, 3.930546
66600, 3.930546
67500, 4.134847
68400, 4.345433
69300, 4.134847
70200, 3.930546
71100, 3.732435
72000, 3.540420
72900, 3.540420
73800, 3.540420
74700, 3.540420
75600, 3.354404
76500, 3.540420
77400, 3.540420
78300, 3.732435
79200, 3.930546
80100, 3.930546
81000, 4.134847
81900, 4.134847
82800, 4.345433
83700, 4.345433
84600, 4.345433
85500, 4.345433
86400, 4.345433
87300, 4.345433
88200, 4.134847
89100, 4.134847
90000, 3.930546
90900, 3.930546
91800, 3.732435
92700, 3.732435
93600, 3.732435
94500, 3.540420
95400, 3.354404
96300, 3.354404
97200, 3.174293
98100, 2.999992
99000, 2.831405
99900, 2.668438
100800, 2.668438
101700, 2.510994
102600, 2.510994
103500, 2.510994
104400, 2.510994
105300, 2.358978
106200, 2.212296
107100, 2.070852
108000, 1.934551
108900, 1.676996
109800, 1.438869
110700, 1.219410
111600, 0.923553
112500, 0.923553
113400, 0.923553
114300, 0.833442
115200, 0.833442
116100, 0.923553
117000, 1.017855
117900, 1.116442
118800, 1.219410
119700, 1.219410
120600, 1.116442
121500, 1.116442
122400, 1.116442
123300, 1.116442
124200, 1.116442
125100, 1.116442
126000, 1.116442
126900, 1.116442
127800, 1.219410
128700, 1.219410
129600, 1.219410
130500, 1.116442
131400, 0.923553
132300, 0.833442
133200, 0.747427
134100, 0.587300
135000, 0.442412
135900, 0.311999
136800, 0.195301
137700, 0.091555
138600, 0.000000
139500, 0.000000
140400, 0.000000
141300, 0.000000
142200, 0.000000
143100, 0.000000
144000, 0.000000
144900, 0.000000
145800, 0.000000
146700, 0.000000
147600, 0.000000
148500, 0.000000
149400, 0.000000
150300, 0.000000
151200, 0.000000
152100, 0.000000
153000, 0.000000
153900, 0.000000
154800, 0.000000
155700, 0.000000
156600, 0.000000
157500, 0.000000
158400, 0.000000
159300, 0.000000
160200, 0.000000
161100, 0.000000
162000, 0.000000
162900, 0.000000
163800, 0.000000
164700, 0.000000
165600, 0.000000
166500, 0.000000
167400, 0.000000
168300, 0.000000
169200, 0.000000
170100, 0.000000
171000, 0.000000
171900, 0.000000
172800, 0.000000
173700, 0.000000
174600, 0.000000
175500, 0.000000
176400, 0.000000
177300, 0.000000
178200, 0.000000
179100, 0.000000
180000, 0.000000
180900, 0.000000
181800, 0.000000
182700, 0.000000
183600, 0.000000
184500, 0.000000
185400, 0.000000
186300, 0.000000
187200, 0.000000
188100, 0.000000
189000, 0.000000
189900, 0.000000
190800, 0.000000
191700, 0.000000
192600, 0.000000
193500, 0.000000
194400, 0.000000
195300, 0.000000
196200, 0.000000
197100, 0.000000
198000, 0.000000
198900, 0.000000
199800, 0.000000
200700, 0.000000
201600, 0.000000
202500, 0.000000
203400, 0.044301
204300, 0.091555
205200, 0.141857
206100, 0.141857
207000, 0.195301
207900, 0.195301
208800, 0.195301
209700, 0.251983
210600, 0.311999
211500, 0.375443
212400, 0.442412
213300, 0.442412
214200, 0.442412
215100, 0.512999
216000, 0.512999
216900, 0.375443
217800, 0.311999
218700, 0.251983
219600, 0.141857
220500, 0.044301
221400, 0.000000
222300, 0.000000
223200, 0.000000
224100, 0.000000
225000, 0.000000
225900, 0.000000
226800, 0.000000
227700, 0.000000
228600, 0.000000
229500, 0.000000
230400, 0.000000
231300, 0.000000
232200, 0.000000
233100, 0.000000
234000, 0.000000
234900, 0.000000
235800, 0.000000
236700, 0.000000
237600, 0.000000
238500, 0.000000
239400, 0.000000
240300, 0.000000
241200, 0.000000
242100, 0.000000
243000, 0.000000
243900, 0.000000
244800, 0.000000
245700, 0.000000
246600, 0.000000
247500, 0.000000
248400, 0.000000
249300, 0.000000
250200, 0.000000
251100, 0.000000
252000, 0.000000
252900, 0.000000
253800, 0.000000
254700, 0.000000
255600, 0.000000
256500, 0.000000
257400, 0.000000
258300, 0.000000
259200, 0.000000
260100, 0.000000
261000, 0.000000
261900, 0.000000
262800, 0.000000
263700, 0.000000
264600, 0.000000
265500, 0.000000
266400, 0.000000
267300, 0.000000
268200, 0.000000
269100, 0.000000
270000, 0.000000
270900, 0.000000
271800, 0.000000
272700, 0.000000
273600, 0.000000
274500, 0.000000
275400, 0.000000
276300, 0.000000
277200, 0.000000
278100, 0.000000
279000, 0.000000
279900, 0.044301
280800, 0.044301
281700, 0.044301
282600, 0.044301
283500, 0.044301
284400, 0.000000
285300, 0.044301
286200, 0.091555
287100, 0.141857
288000, 0.141857
288900, 0.251983
289800, 0.375443
290700, 0.512999
291600, 0.665411
292500, 0.747427
293400, 0.833442
294300, 0.833442
295200, 0.923553
296100, 0.923553
297000, 1.017855
297900, 1.017855
298800, 1.017855
299700, 1.017855
300600, 1.017855
301500, 1.017855
302400, 1.017855
303300, 0.923553
304200, 0.833442
305100, 0.833442
306000, 0.747427
306900, 0.665411
307800, 0.665411
308700, 0.587300
309600, 0.512999
310500, 0.512999
311400, 0.442412
312300, 0.375443
313200, 0.311999
314100, 0.251983
315000, 0.251983
315900, 0.195301
316800, 0.141857
317700, 0.141857
318600, 0.091555
319500, 0.091555
320400, 0.044301
321300, 0.044301
322200, 0.044301
323100, 0.044301
324000, 0.000000
324900, 0.044301
325800, 0.044301
326700, 0.044301
327600, 0.044301
328500, 0.091555
329400, 0.141857
330300, 0.195301
331200, 0.251983
332100, 0.251983
333000, 0.251983
333900, 0.311999
334800, 0.311999
335700, 0.311999
336600, 0.375443
337500, 0.375443
338400, 0.442412
339300, 0.512999
340200, 0.587300
341100, 0.665411
342000, 0.747427
342900, 0.747427
343800, 0.747427
344700, 0.747427
345600, 1.017855
346500, 1.017855
347400, 1.116442
348300, 1.116442
349200, 1.116442
350100, 1.219410
351000, 1.326854
351900, 1.326854
352800, 1.438869
353700, 1.555552
354600, 1.803297
355500, 1.934551
356400, 2.212296
357300, 2.212296
358200, 2.212296
359100, 2.212296
360000, 2.212296
360900, 2.358978
361800, 2.510994
362700, 2.668438
363600, 2.831405
364500, 2.831405
365400, 2.831405
366300, 2.831405
367200, 2.831405
368100, 2.831405
369000, 2.668438
369900, 2.668438
370800, 2.510994
371700, 2.668438
372600, 2.668438
373500, 2.831405
374400, 2.831405
375300, 2.831405
376200, 2.831405
377100, 2.999992
378000, 2.999992
378900, 2.999992
379800, 2.999992
380700, 2.999992
381600, 3.174293
382500, 2.999992
383400, 2.999992
384300, 2.831405
385200, 2.831405
386100, 2.668438
387000, 2.668438
387900, 2.510994
388800, 2.358978
389700, 2.358978
390600, 2.358978
391500, 2.212296
392400, 2.212296
393300, 2.212296
394200, 2.070852
395100, 2.070852
396000, 2.070852
396900, 1.934551
397800, 1.934551
398700, 1.803297
399600, 1.803297
400500, 1.803297
401400, 1.803297
402300, 1.676996
403200, 1.676996
404100, 1.676996
405000, 1.676996
405900, 1.676996
406800, 1.676996
407700, 1.555552
408600, 1.555552
409500, 1.555552
410400, 1.438869
411300, 1.438869
412200, 1.438869
413100, 1.438869
414000, 1.438869
414900, 1.438869
415800, 1.438869
416700, 1.326854
417600, 1.326854
418500, 1.326854
419400, 1.326854
420300, 1.438869
421200, 1.438869
422100, 1.326854
423000, 1.219410
423900, 1.116442
424800, 1.116442
425700, 1.116442
426600, 1.116442
427500, 1.116442
428400, 1.116442
429300, 1.116442
430200, 1.116442
431100, 1.116442
432000, 0.747427
432900, 0.665411
433800, 0.587300
434700, 0.587300
435600, 0.512999
436500, 0.442412
437400, 0.375443
438300, 0.311999
439200, 0.251983
440100, 0.195301
441000, 0.195301
441900, 0.141857
442800, 0.141857
443700, 0.141857
444600, 0.141857
445500, 0.091555
446400, 0.091555
447300, 0.091555
448200, 0.091555
449100, 0.091555
450000, 0.044301
450900, 0.044301
451800, 0.000000
452700, 0.000000
453600, 0.000000
454500, 0.000000
455400, 0.000000
456300, 0.000000
457200, 0.000000
458100, 0.000000
459000, 0.000000
459900, 0.000000
460800, 0.000000
461700, 0.000000
462600, 0.000000
463500, 0.000000
464400, 0.000000
465300, 0.000000
466200, 0.000000
467100, 0.000000
468000, 0.000000
468900, 0.000000
469800, 0.000000
