# ENERGY SUPPLY GROUP 63
# Windpark in the North Sea with 29 turbines.
#
# time [s], power [MW]
0, 106.353542
900, 110.273244
1800, 110.273244
2700, 114.284097
3600, 118.387150
4500, 122.583451
5400, 126.874046
6300, 131.259984
7200, 131.259984
8100, 135.742313
9000, 140.322079
9900, 145.000332
10800, 149.778118
11700, 149.778118
12600, 149.778118
13500, 149.778118
14400, 149.778118
15300, 145.000332
16200, 145.000332
17100, 140.322079
18000, 140.322079
18900, 135.742313
19800, 131.259984
20700, 126.874046
21600, 122.583451
22500, 118.387150
23400, 114.284097
24300, 110.273244
25200, 106.353542
26100, 106.353542
27000, 102.523944
27900, 102.523944
28800, 102.523944
29700, 98.783402
30600, 98.783402
31500, 95.130870
32400, 95.130870
33300, 95.130870
34200, 98.783402
35100, 98.783402
36000, 102.523944
36900, 106.353542
37800, 110.273244
38700, 114.284097
39600, 118.387150
40500, 122.583451
41400, 126.874046
42300, 131.259984
43200, 135.742313
44100, 145.000332
45000, 154.656485
45900, 164.719155
46800, 169.905552
47700, 169.905552
48600, 169.905552
49500, 169.905552
50400, 169.905552
51300, 169.905552
52200, 169.905552
53100, 169.905552
54000, 169.905552
54900, 169.905552
55800, 169.905552
56700, 169.905552
57600, 169.905552
58500, 169.905552
59400, 169.905552
60300, 169.905552
61200, 169.905552
62100, 169.905552
63000, 169.905552
63900, 169.905552
64800, 169.905552
65700, 169.905552
66600, 169.905552
67500, 169.905552
68400, 169.905552
69300, 169.905552
70200, 169.905552
71100, 169.905552
72000, 169.905552
72900, 169.905552
73800, 169.905552
74700, 169.905552
75600, 169.905552
76500, 169.905552
77400, 169.905552
78300, 169.905552
79200, 169.905552
80100, 169.905552
81000, 169.905552
81900, 169.905552
82800, 169.905552
83700, 169.905552
84600, 169.905552
85500, 169.905552
86400, 169.905552
87300, 169.905552
88200, 169.905552
89100, 169.905552
90000, 169.905552
90900, 169.905552
91800, 169.905552
92700, 169.905552
93600, 169.905552
94500, 169.905552
95400, 169.905552
96300, 169.905552
97200, 169.905552
98100, 169.905552
99000, 169.905552
99900, 169.905552
100800, 169.905552
101700, 169.905552
102600, 169.905552
103500, 169.905552
104400, 169.905552
