# ENERGY DEMAND GROUP 64
# Office buildings in Amsterdam with an annual energy consumption of 2.52e+13 J.
#
# time [s], power [MW]
0, 0.108060
900, 0.103842
1800, 0.110557
2700, 0.111296
3600, 0.113905
4500, 0.109459
5400, 0.116538
6300, 0.117316
7200, 0.112621
8100, 0.108225
9000, 0.115224
9900, 0.115993
10800, 0.113724
11700, 0.109285
12600, 0.116353
13500, 0.117130
14400, 0.110265
15300, 0.105961
16200, 0.112813
17100, 0.113566
18000, 0.220930
18900, 0.212306
19800, 0.226036
20700, 0.227545
21600, 0.706419
22500, 0.678845
23400, 0.722746
24300, 0.727572
25200, 1.185951
26100, 1.139658
27000, 1.213361
27900, 1.221463
28800, 2.334085
29700, 2.242975
30600, 2.388030
31500, 2.403976
32400, 2.289136
33300, 2.199781
34200, 2.342042
35100, 2.357681
36000, 2.218093
36900, 2.131511
37800, 2.269357
38700, 2.284511
39600, 2.038375
40500, 1.958808
41400, 2.085486
42300, 2.099412
43200, 1.874833
44100, 1.801650
45000, 1.918164
45900, 1.930973
46800, 1.817890
47700, 1.746929
48600, 1.859904
49500, 1.872324
50400, 1.944016
51300, 1.868133
52200, 1.988946
53100, 2.002227
54000, 2.142086
54900, 2.058471
55800, 2.191594
56700, 2.206228
57600, 1.900021
58500, 1.825855
59400, 1.943935
60300, 1.956915
61200, 1.984264
62100, 1.906809
63000, 2.030124
63900, 2.043680
64800, 1.954283
65700, 1.877999
66600, 1.999450
67500, 2.012802
68400, 1.910745
69300, 1.836160
70200, 1.954906
71100, 1.967959
72000, 1.121486
72900, 1.077710
73800, 1.147406
74700, 1.155068
75600, 0.317497
76500, 0.305104
77400, 0.324835
78300, 0.327004
79200, 0.098935
80100, 0.095073
81000, 0.101222
81900, 0.101898
82800, 0.110829
83700, 0.106503
84600, 0.113391
85500, 0.114148
86400, 0.102940
87300, 0.098921
88200, 0.105319
89100, 0.106022
90000, 0.108508
90900, 0.104273
91800, 0.111016
92700, 0.111757
93600, 0.107284
94500, 0.103097
95400, 0.109764
96300, 0.110497
97200, 0.108336
98100, 0.104107
99000, 0.110839
99900, 0.111580
100800, 0.105040
101700, 0.100940
102600, 0.107468
103500, 0.108185
104400, 0.210461
105300, 0.202246
106200, 0.215326
107100, 0.216763
108000, 0.672947
108900, 0.646679
109800, 0.688500
110700, 0.693097
111600, 1.129757
112500, 1.085657
113400, 1.155868
114300, 1.163586
115200, 2.223488
116100, 2.136695
117000, 2.274877
117900, 2.290067
118800, 2.180669
119700, 2.095548
120600, 2.231068
121500, 2.245966
122400, 2.112992
123300, 2.030513
124200, 2.161827
125100, 2.176263
126000, 1.941790
126900, 1.865993
127800, 1.986669
128700, 1.999934
129600, 1.785998
130500, 1.716282
131400, 1.827275
132300, 1.839477
133200, 1.731752
134100, 1.664154
135000, 1.771776
135900, 1.783607
136800, 1.851902
137700, 1.779614
138600, 1.894703
139500, 1.907355
140400, 2.040587
141300, 1.960934
142200, 2.087749
143100, 2.101690
144000, 1.809992
144900, 1.739340
145800, 1.851825
146700, 1.864190
147600, 1.890243
148500, 1.816458
149400, 1.933930
150300, 1.946843
151200, 1.861683
152100, 1.789013
153000, 1.904710
153900, 1.917428
154800, 1.820207
155700, 1.749156
156600, 1.862276
157500, 1.874711
158400, 1.068347
159300, 1.026644
160200, 1.093038
161100, 1.100337
162000, 0.302453
162900, 0.290647
163800, 0.309443
164700, 0.311509
165600, 0.094247
166500, 0.090568
167400, 0.096425
168300, 0.097069
169200, 0.105578
170100, 0.101457
171000, 0.108018
171900, 0.108739
172800, 0.108369
173700, 0.104138
174600, 0.110873
175500, 0.111613
176400, 0.114231
177300, 0.109772
178200, 0.116871
179100, 0.117651
180000, 0.112942
180900, 0.108534
181800, 0.115553
182700, 0.116324
183600, 0.114049
184500, 0.109597
185400, 0.116685
186300, 0.117464
187200, 0.110580
188100, 0.106263
189000, 0.113135
189900, 0.113891
190800, 0.221561
191700, 0.212913
192600, 0.226682
193500, 0.228195
194400, 0.708438
195300, 0.680784
196200, 0.724811
197100, 0.729651
198000, 1.189339
198900, 1.142914
199800, 1.216827
200700, 1.224952
201600, 2.340753
202500, 2.249383
203400, 2.394852
204300, 2.410844
205200, 2.295675
206100, 2.206065
207000, 2.348733
207900, 2.364417
208800, 2.224429
209700, 2.137600
210600, 2.275840
211500, 2.291037
212400, 2.044198
213300, 1.964404
214200, 2.091444
215100, 2.105409
216000, 1.880190
216900, 1.806797
217800, 1.923644
218700, 1.936489
219600, 1.823083
220500, 1.751920
221400, 1.865218
222300, 1.877673
223200, 1.949570
224100, 1.873470
225000, 1.994628
225900, 2.007947
226800, 2.148206
227700, 2.064352
228600, 2.197855
229500, 2.212531
230400, 1.905450
231300, 1.831071
232200, 1.949488
233100, 1.962506
234000, 1.989932
234900, 1.912256
235800, 2.035923
236700, 2.049518
237600, 1.959866
238500, 1.883364
239400, 2.005163
240300, 2.018552
241200, 1.916203
242100, 1.841405
243000, 1.960490
243900, 1.973582
244800, 1.124690
245700, 1.080789
246600, 1.150684
247500, 1.158368
248400, 0.318404
249300, 0.305975
250200, 0.325763
251100, 0.327938
252000, 0.099218
252900, 0.095345
253800, 0.101511
254700, 0.102189
255600, 0.111146
256500, 0.106807
257400, 0.113715
258300, 0.114474
259200, 0.106212
260100, 0.102066
261000, 0.108667
261900, 0.109392
262800, 0.111958
263700, 0.107587
264600, 0.114545
265500, 0.115310
266400, 0.110695
267300, 0.106374
268200, 0.113253
269100, 0.114009
270000, 0.111779
270900, 0.107416
271800, 0.114363
272700, 0.115126
273600, 0.108379
274500, 0.104148
275400, 0.110884
276300, 0.111624
277200, 0.217152
278100, 0.208675
279000, 0.222170
279900, 0.223654
280800, 0.694338
281700, 0.667235
282600, 0.710386
283500, 0.715130
284400, 1.165669
285300, 1.120168
286200, 1.192610
287100, 1.200574
288000, 2.294168
288900, 2.204617
289800, 2.347191
290700, 2.362864
291600, 2.249988
292500, 2.162161
293400, 2.301989
294300, 2.317361
295200, 2.180160
296100, 2.095059
297000, 2.230548
297900, 2.245442
298800, 2.003516
299700, 1.925310
300600, 2.049821
301500, 2.063508
302400, 1.842771
303300, 1.770839
304200, 1.885361
305100, 1.897950
306000, 1.786801
306900, 1.717054
307800, 1.828097
308700, 1.840304
309600, 1.910770
310500, 1.836185
311400, 1.954932
312300, 1.967986
313200, 2.105453
314100, 2.023268
315000, 2.154114
315900, 2.168498
316800, 1.867528
317700, 1.794630
318600, 1.910690
319500, 1.923449
320400, 1.950329
321300, 1.874200
322200, 1.995405
323100, 2.008730
324000, 1.920862
324900, 1.845882
325800, 1.965257
326700, 1.978380
327600, 1.878068
328500, 1.804759
329400, 1.921474
330300, 1.934304
331200, 1.102307
332100, 1.059279
333000, 1.127784
333900, 1.135314
334800, 0.312067
335700, 0.299886
336600, 0.319280
337500, 0.321412
338400, 0.097243
339300, 0.093447
340200, 0.099491
341100, 0.100155
342000, 0.108934
342900, 0.104682
343800, 0.111452
344700, 0.112196
345600, 0.091615
346500, 0.088039
347400, 0.093733
348300, 0.094359
349200, 0.096571
350100, 0.092802
351000, 0.098803
351900, 0.099463
352800, 0.095482
353700, 0.091755
354600, 0.097689
355500, 0.098341
356400, 0.096418
357300, 0.092654
358200, 0.098646
359100, 0.099305
360000, 0.093485
360900, 0.089836
361800, 0.095645
362700, 0.096284
363600, 0.187309
364500, 0.179998
365400, 0.191638
366300, 0.192918
367200, 0.598917
368100, 0.575539
369000, 0.612759
369900, 0.616851
370800, 1.005475
371700, 0.966226
372600, 1.028713
373500, 1.035582
374400, 1.978886
375300, 1.901642
376200, 2.024622
377100, 2.038142
378000, 1.940778
378900, 1.865021
379800, 1.985633
380700, 1.998892
381600, 1.880546
382500, 1.807140
383400, 1.924009
384300, 1.936857
385200, 1.728178
386100, 1.660719
387000, 1.768119
387900, 1.779926
388800, 1.589524
389700, 1.527477
390600, 1.626261
391500, 1.637120
392400, 1.541245
393300, 1.481084
394200, 1.576867
395100, 1.587396
396000, 1.648178
396900, 1.583842
397800, 1.686271
398700, 1.697531
399600, 1.816106
400500, 1.745215
401400, 1.858080
402300, 1.870487
403200, 1.610879
404100, 1.547999
405000, 1.648109
405900, 1.659114
406800, 1.682301
407700, 1.616633
408600, 1.721182
409500, 1.732675
410400, 1.656883
411300, 1.592207
412200, 1.695177
413100, 1.706496
414000, 1.619970
414900, 1.556735
415800, 1.657410
416700, 1.668478
417600, 0.950820
418500, 0.913705
419400, 0.972795
420300, 0.979291
421200, 0.269181
422100, 0.258673
423000, 0.275402
423900, 0.277241
424800, 0.083879
425700, 0.080605
426600, 0.085818
427500, 0.086391
428400, 0.093963
429300, 0.090296
430200, 0.096135
431100, 0.096777
432000, 0.067158
432900, 0.064536
433800, 0.068710
434700, 0.069169
435600, 0.070791
436500, 0.068028
437400, 0.072427
438300, 0.072911
439200, 0.069992
440100, 0.067260
441000, 0.071610
441900, 0.072088
442800, 0.070678
443700, 0.067919
444600, 0.072312
445500, 0.072795
446400, 0.068528
447300, 0.065853
448200, 0.070112
449100, 0.070580
450000, 0.137305
450900, 0.131946
451800, 0.140479
452700, 0.141417
453600, 0.439032
454500, 0.421894
455400, 0.449178
456300, 0.452178
457200, 0.737055
458100, 0.708285
459000, 0.754090
459900, 0.759125
460800, 1.450607
461700, 1.393983
462600, 1.484133
463500, 1.494044
464400, 1.422672
465300, 1.367139
466200, 1.455553
467100, 1.465272
468000, 1.378519
468900, 1.324710
469800, 1.410380
470700, 1.419797
471600, 1.266827
472500, 1.217377
473400, 1.296106
474300, 1.304760
475200, 1.165188
476100, 1.119705
477000, 1.192117
477900, 1.200078
478800, 1.129798
479700, 1.085697
480600, 1.155910
481500, 1.163628
482400, 1.208184
483300, 1.161023
